"고유번호","읍면동코드","읍면동명 한글","읍면동명 영문","위도","경도"
"14","11110125","중학동","Junghak-dong","37.575195","126.9799525"
"17","11110103","궁정동","Gungjeong-dong","37.5849071","126.9724098"
"18","11380107","응암동","Eungam-dong","37.5926842","126.9257987"
"23","11110158","예지동","Yeji -dong","37.5695052","126.9984624"
"24","11110171","명륜2가","Myeongnyun 2(i)-ga","37.5846181","126.9991755"
"26","11110134","경운동","Gyeongun-dong","37.5752459","126.9864011"
"30","11110127","공평동","Gongpyeong-dong","37.5713261","126.9832337"
"31","11110122","청진동","Cheongjin-dong","37.5715373","126.9802941"
"32","11590104","본동","Bon-dong","37.5124878","126.9551134"
"39","11110108","통인동","Tongin-dong","37.5798178","126.9700653"
"4","11320107","창동","Chang-dong","37.6463131","127.0433803"
"5","11230107","청량리동","Cheongnyangni-dong","37.5883148","127.0460902"
"6","11230104","전농동","Jeonnong-dong","37.5802851","127.0556712"
"7","11230110","이문동","Imun-dong","37.5994013","127.0624711"
"8","11230109","휘경동","Hwigyeong-dong","37.5881848","127.0643275"
"9","11590102","상도동","Sangdo-dong","37.4996854","126.9455507"
"10","11545102","독산동","Doksan-dong","37.4663645","126.8975781"
"11","11545103","시흥동","Siheung-dong","37.4497033","126.9106968"
"12","11530107","개봉동","Gaebong-dong","37.4946532","126.8517614"
"13","11530102","구로동","Guro-dong","37.4937929","126.8853184"
"15","11140162","신당동","Sindang-dong","37.556819","127.0154307"
"16","11305101","미아동","Mia-dong","37.6219876","127.023568"
"19","11110114","내자동","Naeja-dong","37.575276","126.9718272"
"20","11140110","수표동","Supyo-dong","37.5674664","126.9894374"
"21","11260106","신내동","Sinnae-dong","37.6102524","127.1011554"
"22","11500109","방화동","Banghwa-dong","37.5773667","126.8147523"
"27","11620102","신림동","Sillim-dong","37.4630314","126.9347748"
"28","11620101","봉천동","Bongcheon-dong","37.4750363","126.9490877"
"29","11110142","소격동","Sogyeok-dong","37.5797855","126.9810122"
"42","11110109","누상동","Nusang-dong","37.5802364","126.9623726"
"52","11110139","팔판동","Palpan-dong","37.5827295","126.9805798"
"56","11110107","적선동","Jeokseon-dong","37.5752845","126.9739372"
"62","11680108","논현동","Nonhyeon-dong","37.5138347","127.0317065"
"72","11110111","옥인동","Ogin-dong","37.5835524","126.9641937"
